Case Number,Case Open Date,Case Close Date,Case Year,Case Sub-Type,Address Zip Code
1990910042,07/11/1990,08/08/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
1991910676,01/03/1991,01/15/1991,1991,Noise Industrial/commercial   Leaf Blower Noise,
1992930197,08/04/1992,08/04/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
1989900333,08/23/1989,01/31/1990,1989,Noise Industrial/commercial   Leaf Blower Noise,
6131,07/25/1996,10/25/1996,1996,Industrial/commercial  construction/repair/demolit,
1990910399,10/16/1990,11/26/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
1992920800,01/02/1992,01/17/1992,1992,Noise Industrial/commercial   Leaf Blower Noise,
23743,08/23/2010,11/29/2010,2010,Industrial/commercial   Equipment Noise,
1990900963,04/26/1990,06/11/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
5671,04/11/1996,05/31/1996,1996,Industrial/commercial   Equipment Noise,
4519,06/06/1995,06/21/1995,1995,Industrial/commercial   Equipment Noise,
5993,06/25/1996,09/10/1996,1996,Residential   Mechanical,
1989900255,09/12/1989,09/20/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
26475,06/04/2012,08/20/2012,2012,Waiver Request,
7275,05/12/1997,10/14/1997,1997,Residential   Construction/repair/demolition,
2262,07/23/2001,10/01/2001,2001,Residential   El  Amplification Equip,
15623,12/06/2004,04/22/2005,2004,Residential   Construction/repair/demolition,
5751,05/01/1996,05/13/1996,1996,Industrial/commercial   Equipment Noise,
5618,04/04/1996,05/13/1996,1996,Industrial/commercial  construction/repair/demolit,
21017,11/03/2008,01/20/2009,2008,Residential   Construction/repair/demolition,
7503,06/26/1997,08/06/1997,1997,Industrial/commercial   Equipment Noise,
15522,11/09/2004,12/16/2004,2004,Industrial/commercial   Electrical Amp Equip,
6503,11/14/1996,12/26/1996,1996,Residential House/yard,
1989900002,07/05/1989,10/30/1989,1989,Noise Industrial/commercial   Leaf Blower Noise,
622,06/21/2000,08/08/2000,2000,Industrial/commercial  construction/repair/demolit,
5997,06/26/1996,12/26/1996,1996,Residential   El  Amplification Equip,
1990901253,06/25/1990,08/02/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
17667,05/16/2006,08/14/2006,2006,Information Request,
5400,02/20/1996,04/30/1996,1996,Industrial/commercial  construction/repair/demolit,
1990900885,04/09/1990,09/13/1990,1990,Noise Industrial/commercial   Leaf Blower Noise,
10596,10/28/1998,12/02/1998,1998,Industrial/commercial   Equipment Noise,
4775,08/08/1995,10/02/1995,1995,Residential House/yard,
