licensee_name,street,city,state,zip,licensee_number,channel_type,account_name,rtd_contract,location
ARGYLE COUNTRY CLUB,14600 ARGYLE CLUB ROAD,silver_spring,MD,20906,CBWLCC003,On Premise,ARGYLE LAND COMPANY INC.,No,14600 ARGYLE CLUB ROAD SILVER SPRING MD 20906
ARIRANG RESTAURANT,1314 EAST GUDE DRIVE,rockville,MD,20850,BBWLHR020,On Premise,PLEROMA INC.,No,1314 EAST GUDE DRIVE ROCKVILLE MD 20850
ARMAND'S PIZZERIA & GRILLE,190 HALPINE ROAD,rockville,MD,20852,BBWHR137,On/Off-Premise,"SAPHRO, LLC.",No,190 HALPINE ROAD ROCKVILLE MD 20852
ARTS ON THE GREEN,311 KENT SQUARE ROAD,gaithersburg,MD,20878,STBW1072567,On Premise,CITY OF GAITHERSBURG,No,311 KENT SQUARE ROAD GAITHERSBURG MD 20878
ASADUR'S MARKET,5536 RANDOLPH RD.,rockville,MD,20852,ABW41082,Off Premise,"MEHRANIAN, LLC",No,5536 RANDOLPH RD. ROCKVILLE MD 20852
ASBURY METHODIST VILLAGE,201 RUSSELL AVENUE,gaithersburg,MD,20877,CBWLRC004,On Premise,"IVA, INC",No,201 RUSSELL AVENUE GAITHERSBURG MD 20877
ASHTON BEER & WINE,7 OLNEY SANDY SPRING ROAD,ashton,MD,20861,DBW085,On/Off-Premise,JOCELYN INC.,Yes,7 OLNEY SANDY SPRING ROAD ASHTON MD 20861
ASIA NINE II,254 CROWN PARK ROAD,gaithersburg,MD,20878,BBWLHR861,On Premise,"THAIDEE, INC",No,254 CROWN PARK ROAD GAITHERSBURG MD 20878
ASI ES MI TIERRA,2559 ENNALS AVENUE,wheaton,MD,20902,BBWLHR1142498,On Premise,AEMT LLC,No,2559 ENNALS AVENUE WEATON MD 20902
ASPEN HILL RACQUET CLUB,14501 HOMECREST ROAD,silver_spring,MD,20906,DBW010,On/Off-Premise,"ASPEN HILL TENNIS, INC.",No,14501 HOMECREST ROAD SILVER SPRING MD 20906
ATTMAN'S DELICATESSEN,12505 PARK POTOMAC AVE.,potomac,MD,20854,BBWHR403274,On/Off-Premise,"ATTMAN'S DELI. CABIN JOHN, LLC",No,12505 PARK POTOMAC AVE. POTOMAC MD 20854
AY! JALISCO,8401 SNOUFFER SCHOOL ROAD,gaithersburg,MD,20879,BBWLHR187,On Premise,"ABI II, INC.",No,8401 SNOUFFER SCHOOL ROAD GAITHERSBURG MD 20879
AY! JALISCO II,425 S. FREDERICK AVE,gaithersburg,MD,20877,BBWLHR169,On Premise,"ABI III, CORP.",No,425 S. FREDERICK AVE GAITHERSBURG MD 20877
AYSE,700 KING FARM BLVD,rockville,MD,20850,BDBWL1442544,On/Off-Premise,"GEMLIK, LLC",No,700 KING FARM BLVD ROCKVILLE MD 20850
AZUCAR RESTAURANT,14418 LAYHILL ROAD,silver_spring,MD,20906,BBWLHR389,On Premise,"JAR-RAM & JAG, INC.",No,14418 LAYHILL ROAD SILVER SPRING MD 20906
AZUL BAR & GRILL,18749 NORTH FREDERICK ROAD,gaithersburg,MD,20879,BBWLHR767,On Premise,SCUMV GROUP INC.,No,18749 NORTH FREDERICK ROAD GAITHERSBURG MD 20879
BABYCAT BREWERY,10241 KENSINGTON PKWY.,kensington,MD,20895,BDBWL782364,On/Off-Premise,"BABYCAT BREWERY, LLC",No,10241 KENSINGTON PKWY. KENSINGTON MD 20895
BABYCAT BREWERY AND KITCHEN,4850 RUGBY AVENUE UNIT 4,bethesda,MD,20814,BBWLHR1475544,On Premise,"BABYCAT BREWERY BETHESDA, LLC",No,4850 RUGBY AVENUE UNIT 4 BETHESDA MD 20814
BACCHUS OF LEBANON,7945 NORFOLK AVE,bethesda,MD,20814,BBWLHR230,On Premise,"U.H.B., INC.",No,7945 NORFOLK AVE BETHESDA MD 20814
BAI KAO THAI,12944-D TRAVILAH ROAD,potomac,MD,20854,HBWHR1265550,On Premise,DIBAVADI CORP.,No,12944-D TRAVILAH ROAD POTOMAC MD 20854
BALDUCCI'S,10323 OLD GEORGETOWN RD.,bethesda,MD,20814,BBWHR478300,On/Off-Premise,"AMERICAN STORES COMPANY, LLC",Yes,10323 OLD GEORGETOWN RD. BETHESDA MD 20814
BAMBOO CAFE,4222 D HOWARD AVE.,kensington,MD,20895,ABW275259,Off Premise,"BAMBOO CAFE, LLC",No,4222 D HOWARD AVE. KENSINGTON MD 20895
BANGKOK GARDEN-ROCKVILLE,891-D ROCKVILLE PIKE,rockville,MD,20852,HBWHR209259,On/Off-Premise,"V&Y FOOD, LLC",No,891-D ROCKVILLE PIKE ROCKVILLE MD 20852
BARBERRYS BAR & LOUNGE,2423 HICKERSON DR.,silver_spring,MD,20902,BBWLHR629355,On Premise,"JOSVIC ENTERPRISES, LLC",No,2423 HICKERSON DR. SILVER SPRING MD 20902
BARBERS AND BREW,77 S WASHINGTON ST UNIT 101,rockville,MD,20850,SCBBWL1037452,On Premise,MOBILE BARBERING SERVICES LLC,No,77 S WASHINGTON ST UNIT 101 ROCKVILLE MD 20850
BARKING MAD CAFE,239 SPECTRUM AVE,gaithersburg,MD,20879,BBWLHR21715,On Premise,"RENEGADES COFFEE COMPANY, LLC",No,239 SPECTRUM AVE GAITHERSBURG MD 20879
BARRA BRAVA,15921 FREDERICK ROAD,rockville,MD,20855,BDBWL42119,On/Off-Premise,"BARRA BRAVA PERUVIAN SEAFOOD, LLC",No,15921 FREDERICK ROAD ROCKVILLE MD 20855
BARRA BRAVA CEVICHERIA PERUANA,15420 OLD COLUMBIA PIKE UNIT B,burtonsville,MD,20866,BBWLHR1011419,On Premise,BARRA BRAVA GROUP LLC,No,15420 OLD COLUMBIA PIKE UNIT B BURTONSVILLE MD 20866
BARREL & CROW,4867 CORDELL AVENUE,bethesda,MD,20814,BBWLHR20279,On Premise,"BARREL AND CROW, LLC",No,4867 CORDELL AVENUE BETHESDA MD 20814
BARRILES RESTAURANT & SPORTS BAR,7637 NEW HAMPSHIRE AVENUE,takoma_park,MD,20912,BBWLHR1522544,On Premise,JVJ ENTERPRICES LLC,No,7637 NEW HAMPSHIRE AVENUE TAKOMA PARK MD 20912
BARTACO,950 ROSE AVENUE,north_bethesda,MD,20852,BBWLHR1886544,On Premise,"BARTACO PIKE & ROSE, LLC",No,950 ROSE AVENUE NORTH BETHESDA MD 20852
BARUCH CAFE EXPRESS,4800 AUBURN AVENUE,bethesda,MD,20814,ABWS1346544,Off Premise,BARUCH CAFE LLC,No,4800 AUBURN AVENUE BETHESDA MD 20814
BASSETT'S RESTAURANT,19950 FISHER AVENUE,poolesville,MD,20837,BBWLHR799369,On Premise,"ALL FLAVORS, INC",No,19950 FISHER AVENUE POOLESVILLE MD 20837
B & B BEER & WINE,8403 SNOUFFER SCHOOL ROAD,gaithersburg,MD,20879,DBW1071994,Off Premise,"SOVATHA, LLC",Yes,8403 SNOUFFER SCHOOL ROAD GAITHERSBURG MD 20879
BB.Q CHICKEN,9712 TRAVILLE GATEWAY DRIVE,rockville,MD,20850,BBWLHR1179497,On Premise,"BIGPRO INVESTMENT, INC.",No,9712 TRAVILLE GATEWAY DRIVE ROCKVILLE MD 20850
BBQ CHICKEN & BEER,2235 BEL PRE RD.,silver_spring,MD,20906,BBWLHR655357,On Premise,"HIZ CHICKEN FACTORY, LLC",No,2235 BEL PRE RD. SILVER SPRING MD 20906
BEARDED GOAT BARBER,720 CENTER POINT WAY,gaithersburg,MD,20878,SCBBWL1511546,On Premise,"BEARDED GOAT BARBER KENTLANDS, LLC",No,720 CENTER POINT WAY GAITHERSBURG MD 20878
BEATESUB MARKET & CARRY OUT,8201 GEORGIA AVENUE,silver_spring,MD,20910,BBWHR26282,On/Off-Premise,"BEATESUB MARKET & CARRY-OUT, INC.",No,8201 GEORGIA AVENUE SILVER SPRING MD 20910
BEDFORD COURT,3701 INTERNATIONAL DRIVE,silver_spring,MD,20906,CBWLRC1933544,On Premise,WELLTOWER CCRC OPCO LLC,No,3701 INTERNATIONAL DRIVE SILVER SPRING MD 20906
BEERS AND CHEERS,19827 CENTURY BLVD,germantown,MD,20874,DBW061,On/Off-Premise,GRAND CREW ENTERPRISES INC,Yes,19827 CENTURY BLVD GERMANTOWN MD 20874
BEERS & CHEERS TOO,678 QUINCE ORCHARD ROAD,gaithersburg,MD,20878,DBW23668,On/Off-Premise,"BEERS AND CHEERS TOO, LLC",Yes,678 QUINCE ORCHARD ROAD GAITHERSBURG MD 20878
"BEER, WINE, & CO.",7029 WISCONSIN AVE,chevy_chase,MD,20815,DBW22948,On/Off-Premise,"GOLDEN TRADE, LLC",Yes,7029 WISCONSIN AVE CHEVY CHASE MD 20815
BEER & WINE INTERNATIONAL,"4011 NORBECK ROAD, UNIT B",rockville,MD,20853,ABWS218,Off Premise,"AKSHAT, LLC",Yes,"4011 NORBECK ROAD, UNIT B ROCKVILLE MD 20853"
BEER & WINE PLUS,11512 MIDDLEBROOK ROAD,germantown,MD,20874,ABWS1914545,Off Premise,"ANNA'S DELI PLUS, INC.",Yes,11512 MIDDLEBROOK ROAD GERMANTOWN MD 20874
BELBY DISCOUNT BEER & WINE,888 ROCKVILLE PIKE,rockville,MD,20852,DBW109,On/Off-Premise,"CKCE, INC",Yes,888 ROCKVILLE PIKE ROCKVILLE MD 20852
BEL PRE BEER & WINE,2251 BEL PRE ROAD,silver_spring,MD,20906,DBW103,On/Off-Premise,RETAIL & REAL ESTATE SERVICES INC.,Yes,2251 BEL PRE ROAD SILVER SPRING MD 20906
BEMNET SUPERMARKET & DELI,617 SLIGO AVENUE,silver_spring,MD,20910,BDBWLHR18176,On/Off-Premise,"BEMNET SUPERMARKET & DELI, LLC",No,617 SLIGO AVENUE SILVER SPRING MD 20910
BENIHANA OF TOKYO,7935 WISCONSIN AVE,bethesda,MD,20814,BBWLHR040,On Premise,BENIHANA BETHESDA CORPORATION,No,7935 WISCONSIN AVE BETHESDA MD 20814
BEST BEER WINE AND DELI & GROCERY,18749-A NORTH FREDERICK ROAD,gaithersburg,MD,20879,ABWS854397,Off Premise,BEST BEER WINE AND DELI,Yes,18749-A NORTH FREDERICK ROAD GAITHERSBURG MD 20879
BEST CONVENIENCE MART,8120 PINEY BRANCH RD.,silver_spring,MD,20910,ABW238266,Off Premise,"FANTU, INC.",No,8120 PINEY BRANCH RD. SILVER SPRING MD 20910
BESTWAY MARYLAND SUPERMARKET,8540 PINEY BRANCH ROAD,silver_spring,MD,20901,ABWS082,Off Premise,GREEN CASTLE INTERNATIONAL INC,Yes,8540 PINEY BRANCH ROAD SILVER SPRING MD 20901
BEST WESTERN MOTEL,1251 WEST MONTGOMERY AVE,rockville,MD,20850,BBWLHM010,On Premise,ROCKVILLE MOTEL ASSOCIATES LLC,No,1251 WEST MONTGOMERY AVE ROCKVILLE MD 20850
BETHESDA BEER AND WINE,8015 WISCONSIN AVENUE,bethesda,MD,20814,ABW2023544,Off Premise,"ARYAL, LLC",Yes,8015 WISCONSIN AVENUE BETHESDA MD 20814
BETHESDA BLUES & JAZZ,7719 WISCONSIN AVE,bethesda,MD,20814,BBWLHR765,On Premise,"BETHESDA BLUES & JAZZ, LLC",No,7719 WISCONSIN AVE BETHESDA MD 20814
BETHESDA CO-OP,6500 SEVEN LOCKS ROAD,cabin_john,MD,20818,ABWS099,Off Premise,"BETHESDA COMMUNITY FOOD STORE,",No,6500 SEVEN LOCKS ROAD CABIN JOHN MD 20818
BETHESDA COUNTRY CLUB,7601 BRADLEY BLVD.,bethesda,MD,20817,CBWLCC004,On Premise,BETHESDA COUNTRY CLUB INC.,No,7601 BRADLEY BLVD. BETHESDA MD 20817
BETHESDA CRAB HOUSE,4958 BETHESDA AVE,bethesda,MD,20814,BBWHR079,On/Off-Premise,"BETHESDA CRAB HOUSE, LLC",No,4958 BETHESDA AVE BETHESDA MD 20814
BETHESDA CURRY KITCHEN,4860 CORDELL AVENUE,bethesda,MD,20814,BBWLHR1071790,On Premise,"BHAIRAVI, LLC",No,4860 CORDELL AVENUE BETHESDA MD 20814
BETHESDA MARKET,"4611 SANGAMORE ROAD, UNIT D",bethesda,MD,20816,DBW146,On/Off-Premise,OM SAI RAM INC.,Yes,"4611 SANGAMORE ROAD, UNIT D BETHESDA MD 20816"
BETHESDA N. MARRIOTT HOTEL/CONF CTR,5701 MARINELLI ROAD,rockville,MD,20852,BBWLHC001,On Premise,"MARRIOTT HOTEL SERVICES, LLC",No,5701 MARINELLI ROAD ROCKVILLE MD 20852
BETHESDA ROW CAFE,7235 WOODMONT AVE.,bethesda,MD,20814,BBWLHR41999,On Premise,"CINEMA BEVERAGES HOLDING COMPANY, LLC",No,7235 WOODMONT AVE. BETHESDA MD 20814
BISCOTTI RESTAURANT,7212 MUNCASTER MILL ROAD,derwood,MD,20855,HBWHR34622,On Premise,"BISCOTTI RESTAURANT, LLC",No,7212 MUNCASTER MILL ROAD DERWOOD MD 20855
BISTRO PROVENCE,4933 FAIRMONT AVE,bethesda,MD,20814,BBWLHR584,On Premise,"BISTRO PROVENCE, LLC",No,4933 FAIRMONT AVE BETHESDA MD 20814
BJ'S BEER & WINE,20032 GOSHEN RD.,gaithersburg,MD,20879,ABW42099,Off Premise,"JEON GALAXY, INC.",Yes,20032 GOSHEN RD. GAITHERSBURG MD 20879
BLACK DIAMOND RESTAURANT,8407 RAMSEY AVENUE,silver_spring,MD,20910,DBWL924409,On Premise,"BLACKDIAMOND RESTAURANT, LLC",No,8407 RAMSEY AVENUE SILVER SPRING MD 20910
BLACK MARKET BISTRO,4600 WAVERLY AVE,garrett_park,MD,20896,BBWHR004,On/Off-Premise,"M.W. TAPPAN, LLC,",No,4600 WAVERLY AVE GARRETT PARK MD 20896
BLACK ROCK CENTER FOR THE ARTS,12901 TOWN COMMONS DRIVE,germantown,MD,20874,SBWLCPA21286,On Premise,"GERMANTOWN CULT. ARTS CTR, INC.",No,12901 TOWN COMMONS DRIVE GERMANTOWN MD 20874
BLACK'S BAR & KITCHEN,7750 WOODMONT AVE,bethesda,MD,20814,BBWLHR301,On Premise,"I.T.B., EIGHT,LLC",No,7750 WOODMONT AVE BETHESDA MD 20814
BLUE MASH GOLF COURSE,5821 OLNEY LAYTONSVILLE RD,gaithersburg,MD,20882,BBWLHR961415,On Premise,"KSM MARYLAND II, LLC",No,5821 OLNEY LAYTONSVILLE RD GAITHERSBURG MD 20882
BLU WATER DAY SPA,5234 NICHOLSON LANE,kensington,MD,20895,SCBBWL0002,On Premise,"CIRCLE P SPA, INC",No,5234 NICHOLSON LANE KENSINGTON MD 20895
BOB'S SHANGHAI 66,305 N WASHINGTON ST,rockville,MD,20850,HBWHR1232515,On Premise,BOB'S SHANGHAI 66 INC,No,305 N WASHINGTON ST ROCKVILLE MD 20850
BOMBAY BISTRO,98 W MONTGOMERY AVENUE,rockville,MD,20850,HBWHR2104544,On Premise,SHAM&RAJ INC,No,98 W MONTGOMERY AVENUE ROCKVILLE MD 20850
"BONCHON, 3161",107 GIBBS ST UNIT A,rockville,MD,20850,BBWLHR779373,On Premise,REYANSH VENTURES LLC,No,107 GIBBS ST UNIT A ROCKVILLE MD 20850
BONCHON CHICKEN-KENTLANDS,130 MARKET ST.,gaithersburg,MD,20878,BBWLHR277259,On Premise,"KF KENTLANDS, INC.",No,130 MARKET ST. GAITHERSBURG MD 20878
BONEFISH GRILL,82 MARKET STREET,gaithersburg,MD,20878,BBWLHR143,On Premise,"BONEFISH OF GAITHERSBURG, INC.",No,82 MARKET STREET GAITHERSBURG MD 20878
BONFIELDS MARKET,6124 MACARTHUR BLVD.,bethesda,MD,20816,DBW224260,On/Off-Premise,"BONFIELDS MARKET, LLC",No,6124 MACARTHUR BLVD. BETHESDA MD 20816
BOTTLEGO,10723 COLUMBIA PIKE,silver_spring,MD,20901,ABWS402274,Off Premise,"BOTTLEGO, INC.",Yes,10723 COLUMBIA PIKE SILVER SPRING MD 20901
